Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0019,nhaA,CDS,-0.04294927194333526,-0.03274867907016429,-0.09398652187888411,-0.11701378292325278,-0.0659157131567642,-0.09202437250847599,-0.08878640414979537,-0.08081537446408218,-0.12253774860855103,-0.11766837768095008,-0.08397991523338003,-0.07552899829658871,-0.07502530450634144,-0.10443162171064023,-0.06197367692606246,-0.06967022334767023,-0.06348298175000094,-0.08096304739078146,-0.08563063942185165,-0.12156429639518102
b0020,nhaR,CDS,-0.06498665655517463,-0.05792373250945788,-0.11020813267747993,-0.1300342674731536,-0.0809980601010886,-0.11474813722102954,-0.11677439609217864,-0.10797315323372036,-0.13564063635274823,-0.1314042172568265,-0.10859863737631772,-0.09943006060369078,-0.1074060290381482,-0.12119649794530069,-0.1066258714936874,-0.10687671701244852,-0.07974546217732656,-0.10577181113796091,-0.1028937131829755,-0.13894846606762679
b0021,insB-1,CDS,-0.09087132344909697,-0.08195639557535782,-0.12069921866531635,-0.14118240109458333,-0.09853100276414652,-0.14070156235098918,-0.13823385623044426,-0.13247677721104045,-0.1547112263863951,-0.1514024013075223,-0.1338395644185206,-0.1220388761580024,-0.14759686832964822,-0.1345247385917406,-0.14926644486650664,-0.14812289278366592,-0.09802961529950938,-0.12378965245653424,-0.11961980128095312,-0.16703723565319326
b0022,insA-1,CDS,-0.08865523828792783,-0.08029077296987548,-0.1137490366122039,-0.13263377046217364,-0.08056239863998041,-0.1288039185703296,-0.1313705444632462,-0.12465377883821954,-0.1480848132087942,-0.1426212042993553,-0.12749612509312147,-0.11353935627882404,-0.13008393886534328,-0.130648980850151,-0.14201301665108285,-0.14405102754995003,-0.07714561530338923,-0.11162850508544946,-0.11185889189100695,-0.15245848527966402
b0023,rpsT,CDS,0.9373268760263013,0.5653235824354081,6.38015071187921,5.460530625958437,2.2842055811086794,2.9211707129025792,2.371752792517119,2.3537136382788457,3.456461958918925,3.000149965661031,2.6818988164148423,2.7560466043580614,4.422312719390391,4.5294421261521824,2.5193335511155843,2.514592918986632,2.8958187500318813,3.7046052883846707,2.1907373238616734,1.7995789811854928
b0024,yaaY,CDS,-0.08489349798867757,-0.07742474946092007,-0.12057380694331432,-0.13807231660456418,-0.0992637503332202,-0.13946927826649333,-0.13552658936137185,-0.13046465754788264,-0.1527241758619168,-0.1482048500645128,-0.13084548139457958,-0.11864231185573294,-0.14634961496319396,-0.13574368112092036,-0.14657415212897507,-0.14506269715956396,-0.09703209535905288,-0.12270463013894682,-0.1152669458581597,-0.16171558313435216
b0025,ribF,CDS,-0.03576037427276182,-0.03442946782730137,-0.040486559174018395,-0.051311525351238,-0.02352721443300416,-0.041797969288170096,-0.04609905614059721,-0.044568344306121326,-0.04521455248495117,-0.04452297312533082,-0.020457815875099993,-0.01992705531704345,-0.0159475862181896,-0.044507851764246265,-0.02409356340813302,-0.018468267116697395,-0.017005331786459753,-0.03693413591240921,-0.02025094275208841,-0.01797595690409514
b0026,ileS,CDS,0.018775800201189866,0.0121400965975493,-0.025850672265781572,-0.018486647542145743,0.0034852548436308762,0.016270301394228363,0.0110554306199843,0.016988386469789576,0.06622768407287757,0.054139657080263935,0.05308756587982067,0.03537195397728916,0.0544525460952349,-0.004784331795464979,0.05500287305832419,0.05451257104904195,-0.002274480277417577,-0.008773820267293373,0.006363127147310588,0.07027766208305315
b0027,lspA,CDS,-0.007528570214414259,0.004600623456184307,-0.026989546281799996,-0.03888562542846469,0.0037332317913598588,-0.007027610588790526,-0.023973261316662824,-0.011412298583380906,0.028683347020262324,0.02731898913851106,0.02194935665142616,0.014344996729508563,0.02742051136686259,-0.002789985348913658,0.021779316262594335,0.02848271778093221,-0.005835045385270273,-0.02068768885673417,-0.009827103408661893,0.016463904774984908
b0028,fkpB,CDS,-0.030147471753885005,-0.03209388047247068,-0.06277030145371232,-0.06464111515431442,-0.026929847139293275,-0.05424285743862175,-0.0696929804365375,-0.05820345016397215,-0.04042088407681413,-0.043164155834229535,-0.03711752682958227,-0.041890616329621086,-0.01124927006633738,-0.06317432881823784,-0.025876173616601033,-0.034795607144056,-0.024607789585084455,-0.06239807288011268,-0.04924534825913134,-0.05541062333056197
