gene_name	module	frequency	Poor_M9_ATC5.rep1ME	Poor_M9_ATC5.rep2ME	Rich_LB_ATC12.rep1ME	Rich_LB_ATC12.rep2ME	Rich_M9_ATC5_1.rep1ME	Rich_M9_ATC5_1.rep2ME	Rich_M9_ATC5_2.rep1ME	Rich_M9_ATC5_2.rep2ME	Rich_M9_ATC5_CAM1.2.rep1ME	Rich_M9_ATC5_CAM1.2.rep2ME	Rich_M9_ATC5_NOX.rep1ME	Rich_M9_ATC5_NOX.rep2ME	Rich_M9_ATC5_PH5.rep1ME	Rich_M9_ATC5_PH5.rep2ME	Rich_M9_ATC5_TMP.rep1ME	Rich_M9_ATC5_TMP.rep2ME	Rich_M9_No_ATC_1.rep1ME	Rich_M9_No_ATC_1.rep2ME	Rich_M9_No_ATC_2.rep1ME	Rich_M9_No_ATC_2.rep2ME	ME_min	ME_max	ME_mean	ME_median	ME_std	Poor_M9_ATC5.rep1ME_raw_ratio	Poor_M9_ATC5.rep2ME_raw_ratio	Rich_LB_ATC12.rep1ME_raw_ratio	Rich_LB_ATC12.rep2ME_raw_ratio	Rich_M9_ATC5_1.rep1ME_raw_ratio	Rich_M9_ATC5_1.rep2ME_raw_ratio	Rich_M9_ATC5_2.rep1ME_raw_ratio	Rich_M9_ATC5_2.rep2ME_raw_ratio	Rich_M9_ATC5_CAM1.2.rep1ME_raw_ratio	Rich_M9_ATC5_CAM1.2.rep2ME_raw_ratio	Rich_M9_ATC5_NOX.rep1ME_raw_ratio	Rich_M9_ATC5_NOX.rep2ME_raw_ratio	Rich_M9_ATC5_PH5.rep1ME_raw_ratio	Rich_M9_ATC5_PH5.rep2ME_raw_ratio	Rich_M9_ATC5_TMP.rep1ME_raw_ratio	Rich_M9_ATC5_TMP.rep2ME_raw_ratio	Rich_M9_No_ATC_1.rep1ME_raw_ratio	Rich_M9_No_ATC_1.rep2ME_raw_ratio	Rich_M9_No_ATC_2.rep1ME_raw_ratio	Rich_M9_No_ATC_2.rep2ME_raw_ratio
yaaW	blue	672.0	0.12174079259361	0.180180986140495	-0.360491918549808	-0.437449737339189	0.108238874437448	-0.151032474427797	-0.167210963487942	-0.116944168649531	-0.0896357666775785	-0.0998216576152646	0.116308376184242	0.110394458358662	0.320281325321999	-0.335083074041709	0.282143944298306	0.295515258349792	0.0873085122694403	-0.229615911690122	0.145812555556804	0.219360588968143	-0.437449737339189	0.320281325321999	1.2490009027033013e-17	0.0977736933534441	0.2294157338705617	0.04846369131911226	0.057621038100574035	-0.183176787881	-0.5911482937016068	0.10367708279449041	-0.12941942967249098	-0.08500811565223285	-0.0866253101107637	-0.05495755161102299	-0.04543543814987009	0.044665275032350994	0.03724509391317882	0.08147578868532154	-0.17823567768176013	0.1192997650309962	0.08256922557971276	0.07133048388026168	-0.1359478458792907	0.09187936708053182	0.08299681761942604
mbiA	cyan	74.0	-0.0854545751225192	-0.0618534083632201	-0.129593229402867	-0.14644000087046	-0.0887716125947578	-0.0829055743928578	-0.089589151429537	-0.0854451347588559	-0.0914955429267205	-0.0787764676638945	0.66749902338328	0.651344481611492	0.021999783531219	-0.113993164867865	0.0041177927053189	0.0062321727706521	-0.0701631023777776	-0.0929969896137976	-0.058964432606085	-0.0747508670107463	-0.14644000087046	0.66749902338328	4.510281037539698e-17	-0.0808410210283761	0.2294157338705617	-0.2704258706408835	-0.1415409802362016	-0.34193464222392345	-0.1413513521915637	-0.08686067768567299	-0.2657229948489032	-895891514.2953699	-0.15941256484861174	-0.2798028835679526	-0.08841354395498821	0.6544108072385099	0.5235888115848006	0.0211943964655289	-0.2787118945424572	0.005232265191002414	0.009246547137466022	-0.10037639825147011	-0.3369456145427449	-0.10624222091186486	-0.2789211455624862
yaaI	blue	672.0	0.12174079259361	0.180180986140495	-0.360491918549808	-0.437449737339189	0.108238874437448	-0.151032474427797	-0.167210963487942	-0.116944168649531	-0.0896357666775785	-0.0998216576152646	0.116308376184242	0.110394458358662	0.320281325321999	-0.335083074041709	0.282143944298306	0.295515258349792	0.0873085122694403	-0.229615911690122	0.145812555556804	0.219360588968143	-0.437449737339189	0.320281325321999	1.2490009027033013e-17	0.0977736933534441	0.2294157338705617	0.9585889180599212	0.19606200885799235	-0.9057585893211256	-7.05564092482563	0.07353184404717934	-0.16135948122627883	-0.32531315853685216	-0.36318064797990995	-0.09796258653287267	-0.14943361918452783	0.06127943950697682	0.12516378498714512	0.16449991028351257	-0.9105518316350788	0.2758005320609052	0.20296377633914284	0.1040625891173305	-0.2603355007824512	0.1367847613103227	0.22755247818272098
dnaK	green	295.0	-0.042320737802992	-0.0444642309183998	0.516534525365087	0.481975314337589	-0.106426563993159	-0.171530025049753	-0.192236178428971	-0.175309507660829	-0.100607978902075	-0.0946436985615574	-0.0998446218375351	-0.0854547018219013	-0.0305846069488177	0.551300161087818	-0.0345018984182955	-0.0370815744980814	-0.104783024087098	-0.18082185370246	-0.0274792943211674	-0.0217195038374002	-0.192236178428971	0.551300161087818	5.793976409762534e-17	-0.0649594663701505	0.2294157338705617	-0.00023409818346401744	-0.0002454756447864841	0.0008262172900046179	0.0006373783554499818	-0.0006776733334171236	-0.0005018652809507527	-0.0006261336469784509	-0.0005690259818195154	-0.00031956896202981665	-0.000318412636967115	-0.00029236222024987585	-0.00023197558437773513	-5.509439564502379e-05	0.0007445414191900909	-0.00010362610879330431	-0.0001083271484062195	-0.0005919844527329933	-0.0006276095882936497	-0.000127855271937501	-8.402519202980485e-05
dnaJ	green	295.0	-0.042320737802992	-0.0444642309183998	0.516534525365087	0.481975314337589	-0.106426563993159	-0.171530025049753	-0.192236178428971	-0.175309507660829	-0.100607978902075	-0.0946436985615574	-0.0998446218375351	-0.0854547018219013	-0.0305846069488177	0.551300161087818	-0.0345018984182955	-0.0370815744980814	-0.104783024087098	-0.18082185370246	-0.0274792943211674	-0.0217195038374002	-0.192236178428971	0.551300161087818	5.793976409762534e-17	-0.0649594663701505	0.2294157338705617	-0.0005183506375527222	-0.0004872952636075685	0.0022364674634789013	0.0018254289763348244	-0.001055410743791182	-0.0013024200655253415	-0.0018990790748322664	-0.001799541235907051	-0.0006298588182761956	-0.0006548468017377768	-0.000662481815354582	-0.0005436603078042378	-0.00016158564095572492	0.0019502830477464313	-0.00026524823114761975	-0.00026322884958033816	-0.0010206204983840609	-0.0017561146163572797	-0.00030845459293912016	-0.00020933049179718187
insL-1	green	295.0	-0.042320737802992	-0.0444642309183998	0.516534525365087	0.481975314337589	-0.106426563993159	-0.171530025049753	-0.192236178428971	-0.175309507660829	-0.100607978902075	-0.0946436985615574	-0.0998446218375351	-0.0854547018219013	-0.0305846069488177	0.551300161087818	-0.0345018984182955	-0.0370815744980814	-0.104783024087098	-0.18082185370246	-0.0274792943211674	-0.0217195038374002	-0.192236178428971	0.551300161087818	5.793976409762534e-17	-0.0649594663701505	0.2294157338705617	-0.001139983240033186	-0.0012159660600650805	0.006073090018754036	0.005525719003228343	-0.003117904845408068	-0.004423499111580396	-0.005686787907613625	-0.004620338604243972	-0.002166407814428833	-0.0021111217363332826	-0.0020192659029554484	-0.0017468254665147446	-0.0005990052086569988	0.005606575353528572	-0.0007263098839714439	-0.0008258702560819911	-0.0028760471025470863	-0.0058371054846168245	-0.0006989874677884516	-0.00046479710324210234
mokC	turquoise	1554.0	0.582229207115993	0.642916984447146	-0.184701788968302	-0.215938124402432	-0.044335844254853	-0.154323913085832	-0.150085520709741	-0.104052697559089	-0.0980156300972722	-0.106689701965015	-0.0167086658591859	-0.0074666441548455	0.0817208176470093	-0.180187419390177	0.0861699728061131	0.0955850932269716	-0.0430456874884447	-0.169569912203629	-0.0121555873509549	-0.0013449377534582	-0.215938124402432	0.642916984447146	7.509184246634604e-17	-0.0436907658716488	0.2294157338705617	0.03246329562955077	0.032152279678292955	-0.0124739507643886	-0.018011354108135123	-0.004073862377547827	-0.026183222444152016	-0.021641747759155155	-0.009754635563803224	-0.015875547472833203	-0.016902677751111372	-0.0015551624962012193	-0.0008036426816107522	0.009069006508379681	-0.015375665107106152	0.007998697930577657	0.006188740254255203	-0.0032372480626039484	-0.01921254387079413	-0.0007392560573468892	-0.00013564677291560262
nhaA	blue	672.0	0.12174079259361	0.180180986140495	-0.360491918549808	-0.437449737339189	0.108238874437448	-0.151032474427797	-0.167210963487942	-0.116944168649531	-0.0896357666775785	-0.0998216576152646	0.116308376184242	0.110394458358662	0.320281325321999	-0.335083074041709	0.282143944298306	0.295515258349792	0.0873085122694403	-0.229615911690122	0.145812555556804	0.219360588968143	-0.437449737339189	0.320281325321999	1.2490009027033013e-17	0.0977736933534441	0.2294157338705617	0.0010397464500210099	0.0013584519111597441	-0.00684851093411239	-0.010745510619975166	0.0012971283412720714	-0.0019175074516320318	-0.0020550218576074085	-0.0013369326029990284	-0.001769499500110125	-0.001874057216094332	0.001338832274518458	0.001245804321698419	0.0028489710489414603	-0.006264640181754955	0.0021483423129215955	0.002474401178522737	0.0009931579145653544	-0.002911099849005046	0.002169861985398652	0.003410722055012719
nhaR	blue	672.0	0.12174079259361	0.180180986140495	-0.360491918549808	-0.437449737339189	0.108238874437448	-0.151032474427797	-0.167210963487942	-0.116944168649531	-0.0896357666775785	-0.0998216576152646	0.116308376184242	0.110394458358662	0.320281325321999	-0.335083074041709	0.282143944298306	0.295515258349792	0.0873085122694403	-0.229615911690122	0.145812555556804	0.219360588968143	-0.437449737339189	0.320281325321999	1.2490009027033013e-17	0.0977736933534441	0.2294157338705617	0.0018790059051336622	0.0027201646483264387	-0.015068842475852027	-0.020960696566324342	0.0020646029534476785	-0.0034221342825893186	-0.004402837524038707	-0.0027027240899843074	-0.002745016435278327	-0.002943115771302432	0.0024161949474259302	0.0023315055937540817	0.004822351923060693	-0.012449215115236625	0.004139557268380909	0.004460675004147866	0.0016071220459713635	-0.006389579020762522	0.003984602818954036	0.005198980612142844
insB-1	brown	309.0	-0.101142646705154	-0.107472111941909	-0.085418696379642	-0.142138819002183	0.643897017225751	-0.0881816542652508	-0.146211061776367	-0.127352720222525	-0.0985195738065796	-0.0974725121016663	-0.0576864911738261	-0.0634363533381135	0.0288166718148992	-0.101780712041272	-0.0359205493974815	-0.0239150249866221	0.664857713533132	-0.0926609019788481	0.017873763648325	0.0138646628953335	-0.146211061776367	0.664857713533132	3.7730235602495554e-17	-0.0868001753224464	0.2294157338705617	-0.030075125395526016	-0.03765666150732621	-0.015960145063460763	-0.03660541308323024	0.03934117536663719	-0.01924943336940642	-0.031042688275237155	-0.03761155352112374	-0.015267251480951432	-0.016957639544479174	-0.006849500258112811	-0.0076282291171372646	0.0030932451497315584	-0.017575671221079604	-0.004586968381749649	-0.003278276214752858	0.040131448876268	-0.019507558311336444	0.002575099214569226	0.002149893455626221
