Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1Zs,Poor_M9_ATC5.rep2Zs,Rich_LB_ATC12.rep1Zs,Rich_LB_ATC12.rep2Zs,Rich_M9_ATC5_1.rep1Zs,Rich_M9_ATC5_1.rep2Zs,Rich_M9_ATC5_2.rep1Zs,Rich_M9_ATC5_2.rep2Zs,Rich_M9_ATC5_CAM1.2.rep1Zs,Rich_M9_ATC5_CAM1.2.rep2Zs,Rich_M9_ATC5_NOX.rep1Zs,Rich_M9_ATC5_NOX.rep2Zs,Rich_M9_ATC5_PH5.rep1Zs,Rich_M9_ATC5_PH5.rep2Zs,Rich_M9_ATC5_TMP.rep1Zs,Rich_M9_ATC5_TMP.rep2Zs,Rich_M9_No_ATC_1.rep1Zs,Rich_M9_No_ATC_1.rep2Zs,Rich_M9_No_ATC_2.rep1Zs,Rich_M9_No_ATC_2.rep2Zs,MinZs,MaxZs,MeanZs,MedianZs,Variance_Zs,Std_DevZs,RangeZs,SkewnessZs,KurtosisZs,Coeff_of_VariationZs,IQRZs,MADZs
b0011,yaaW,CDS,0.4816691098210227,1.2157206586747678,-0.167638276,-1.633354215,-1.270505969,-1.12369566,-0.168831856,-0.905270565,-0.569874654,0.1056914872373971,0.5914784472105261,1.0211671587346696,2.1753587810786885,-0.272673295,0.3062128859486643,1.7552187075884151,-1.055661614,-0.500647028,-0.622392163,0.6380280576256413,-1.633354215,2.1753587810786885,8.326672684688674e-17,-0.168235066,1.0526315789473684,1.025978352085154,3.808712995759839,0.4422295093708426,-0.546803364,1.2321588597709054e+16,1.296227613097833,0.8290545293919791
b0012,mbiA,CDS,-0.887368305,-0.523766663,-0.698055054,1.2762117143076752,1.2341421028164874,-0.899388194,-1.836939536,-0.22627441,-0.85431361,0.8404907381489444,1.2281321583177462,1.9012459421767507,1.282221658806416,-0.607905886,0.5279736242144066,0.1884117600355338,0.2635360662697974,-1.007567195,-0.169179938,-1.031606973,-1.836939536,1.9012459421767507,-9.99E-17,-0.197727174,1.0526315789473684,1.025978352085154,3.7381854782169714,0.22316724647253613,-1.029556453,-1.03E+16,1.7999783773729632,0.8742365765093758
b0013,yaaI,CDS,-1.489993811,0.071158588,-0.955811614,-1.618118692,1.1612056540966482,0.1046681721821968,-0.72715798,-1.105619167,0.06327398,-0.423600569,2.0009164139764173,-0.001774037,2.0975028628827763,-1.014946174,0.2761583977914452,1.1296672218006945,-0.086533574,-0.001774037,0.3609179345868213,0.1598604287001158,-1.618118692,2.0975028628827763,1.637578961322106e-16,0.030749971,1.0526315789473686,1.0259783520851542,3.715621554867055,0.4522152332888735,-0.282920868,6265214541207994.0,1.0816696701502895,0.7425329653678616
b0014,dnaK,CDS,-1.004161987,-1.002120643,1.565721684588688,2.3232971923268546,-1.141417755,-0.073106985,-0.274141724,-0.267977214,-0.229018203,-0.330726838,-0.074697267,0.080676148,1.1606393455643007,2.2323446444221657,-0.12422153,-0.07006521,-1.026015349,-0.383489494,-0.806718393,-0.554800422,-1.141417755,2.3232971923268546,2.7755575615628914e-16,-0.248497709,1.052631578947368,1.0259783520851538,3.464714947480397,1.1819024935696978,0.3595102961831502,3696476579312715.0,0.5854000445489335,0.7362679014421776
b0015,dnaJ,CDS,-1.07309093,-0.904135009,1.5542422733601051,2.1362093789967918,-0.735355046,-0.192310092,-0.728545429,-0.795533056,0.3009032467109079,0.033392637,0.1422233362485617,0.2560864656122613,0.8208095800920282,2.464249916893168,-0.220938637,-0.030938008,-0.70320732,-0.697910951,-0.942142173,-0.684010183,-1.07309093,2.464249916893168,2.3869795029440865e-16,-0.206624364,1.0526315789473686,1.0259783520851542,3.537340847201862,1.1971288173833607,0.4231816297860491,4298228580596182.5,0.9975384945637724,0.7708116834871009
b0016,insL-1,CDS,-0.632033531,-0.662248026,1.9678776487797625,2.0856436604178383,-0.794226242,-0.542366457,-0.81212711,-0.587606832,-0.126686611,-0.213966902,0.036374021,0.007841123,0.1238712924348811,2.688143472147043,-0.069024119,-0.210223993,-0.669516863,-0.965423631,-0.513291109,-0.11100979,-0.965423631,2.688143472147043,1.0200174038743625e-16,-0.212095448,1.0526315789473684,1.025978352085154,3.6535671035740656,1.6409933807433223,1.433469366867075,1.0058439671599228e+16,0.6545615020422602,0.6909751217071186
b0018,mokC,CDS,1.705019396612766,2.2388902872601046,0.8947582874692078,0.1647979915719737,-0.121694587,-1.414019611,-1.144364299,-0.177646122,-1.341489844,-1.30574303,-0.157700436,-0.534078119,-0.606607885,0.094858574,-0.150188424,1.0600225418277724,0.5036156164951754,-0.654529338,1.318539354,-0.372440353,-1.414019611,2.2388902872601046,4.1078251911130794e-16,-0.15394443,1.0526315789473684,1.025978352085154,3.652909898063448,0.5411795547715165,-0.457551707,2497619310346429.5,1.219989532860894,0.7980502048324886
b0019,nhaA,CDS,1.2549772822020997,1.834704594684428,-1.147778059,-1.592471782,0.000753086,-0.17372433,-0.076717869,0.1508856835420241,-1.221669991,-1.124402559,0.1285540655242164,0.193423874,1.0809845254590107,-1.116088785,1.786014956735751,1.3422905533168012,0.1672149801894364,-0.169586084,-0.60492215,-0.712441993,-1.592471782,1.834704594684428,-1.78E-16,-0.037982391,1.0526315789473684,1.025978352085154,3.4271763764992302,0.3384710812020519,-0.873060397,-5.77574E+15,1.2286677282201843,0.7939803602061032
b0020,nhaR,CDS,1.3099623230814506,1.4089973692899007,-1.483181385,-1.691845289,0.4649179398369508,-0.101816776,-0.522561941,-0.160937076,-0.886442263,-0.80011979,0.1717769369466516,0.1179193686842229,1.421094817998593,-1.278618312,1.540155584,1.4096808409683572,0.5947775587438214,-0.662126858,-0.617154421,-0.234478629,-1.691845289,1.540155584,7.632783294297951e-17,-0.131376926,1.0526315789473686,1.0259783520851542,3.2320008730884737,0.129833565,-1.106949884,1.3441733015682606e+16,1.4701988407373516,0.8439282739935787
b0021,insB-1,CDS,-0.977328733,-1.117231798,-0.430634829,-0.834402222,2.5969334737702825,-0.642550867,-0.607094098,-0.971006983,-0.128015428,-0.321790793,0.4131813028280555,0.3840462833038421,0.6589049580605729,-0.30997187,0.2507398260468275,0.1034155763772196,2.651905208721628,-0.596099751,0.006115606,-0.129114862,-1.117231798,2.651905208721628,-2.35E-16,-0.219543366,1.0526315789473684,1.025978352085154,3.769137007,1.596060884545751,1.9757432410987317,-4.37453E+15,0.9000247304909152,0.7065242234621766
