Locus_tag,Gene_name,Gene_type,Poor_M9_ATC5.rep1,Poor_M9_ATC5.rep2,Rich_LB_ATC12.rep1,Rich_LB_ATC12.rep2,Rich_M9_ATC5_1.rep1,Rich_M9_ATC5_1.rep2,Rich_M9_ATC5_2.rep1,Rich_M9_ATC5_2.rep2,Rich_M9_ATC5_CAM1.2.rep1,Rich_M9_ATC5_CAM1.2.rep2,Rich_M9_ATC5_NOX.rep1,Rich_M9_ATC5_NOX.rep2,Rich_M9_ATC5_PH5.rep1,Rich_M9_ATC5_PH5.rep2,Rich_M9_ATC5_TMP.rep1,Rich_M9_ATC5_TMP.rep2,Rich_M9_No_ATC_1.rep1,Rich_M9_No_ATC_1.rep2,Rich_M9_No_ATC_2.rep1,Rich_M9_No_ATC_2.rep2
b0012,mbiA,CDS,-0.8873683052391255,-0.5237666630652882,-0.6980550535287804,1.2762117143076752,1.2341421028164874,-0.8993881942366077,-1.8369395360402212,-0.22627441037760299,-0.8543136104960493,0.8404907381489444,1.2281321583177462,1.9012459421767507,1.2822216588064161,-0.6079058860476638,0.5279736242144066,0.1884117600355338,0.2635360662697974,-1.0075671952139476,-0.16917993763956238,-1.0316069732089121
b0013,yaaI,CDS,-1.489993810781966,0.07115858786774597,-0.9558116137692488,-1.6181186919842783,1.1612056540966482,0.10466817218219689,-0.727157979623584,-1.1056191671750295,0.06327397979375751,-0.4236005687750289,2.0009164139764173,-0.0017740368166472044,2.0975028628827763,-1.0149461743241623,0.27615839779144524,1.1296672218006945,-0.08653357361202305,-0.0017740368166472044,0.3609179345868213,0.15986042870011583
b0014,dnaK,CDS,-1.0041619868093288,-1.0021206433829328,1.5657216845886879,2.3232971923268546,-1.1414177551535427,-0.07310698488291377,-0.27414172390622327,-0.26797721372906175,-0.22901820335050804,-0.33072683843110784,-0.07469726658902977,0.08067614751976888,1.1606393455643007,2.2323446444221657,-0.12422153033875981,-0.07006520969230706,-1.026015348872644,-0.38348949401874644,-0.8067183930205571,-0.5548004222441095
b0015,dnaJ,CDS,-1.0730909303086935,-0.9041350087895708,1.5542422733601051,2.1362093789967913,-0.735355046363886,-0.19231009219567494,-0.7285454294478373,-0.7955330563196661,0.3009032467109079,0.0333926369571876,0.1422233362485617,0.2560864656122613,0.8208095800920282,2.4642499168931677,-0.2209386366980296,-0.030938007603727693,-0.7032073199927721,-0.6979109512802896,-0.9421421729721686,-0.6840101828986912
b0016,insL-1,CDS,-0.6320335312300571,-0.6622480261551645,1.9678776487797622,2.0856436604178383,-0.7942262418693228,-0.5423664574217942,-0.8121271095987399,-0.5876068322288672,-0.12668661072323514,-0.21396690216757544,0.03637402077563857,0.007841122516022151,0.12387129243488115,2.688143472147043,-0.0690241186130212,-0.2102239934605157,-0.6695168633543824,-0.9654236314270225,-0.5132911086249224,-0.11100979019656358
b0018,mokC,CDS,1.705019396612766,2.2388902872601046,0.8947582874692078,0.16479799157197375,-0.12169458730039749,-1.414019610803343,-1.1443642992245564,-0.17764612169138475,-1.341489844000211,-1.3057430303615247,-0.15770043582052348,-0.5340781185524897,-0.6066078853556218,0.09485857358323913,-0.15018842425877058,1.0600225418277724,0.5036156164951754,-0.6545293384219765,1.31853935350465,-0.37244035253408186
b0019,nhaA,CDS,1.2549772822020995,1.834704594684428,-1.1477780594167821,-1.5924717818148024,0.0007530862837386717,-0.17372432994888476,-0.07671786904348143,0.1508856835420241,-1.2216699908212822,-1.124402559421514,0.12855406552421644,0.19342387412352507,1.0809845254590107,-1.1160887851010277,1.786014956735751,1.3422905533168012,0.1672149801894364,-0.16958608353823904,-0.6049221496383134,-0.712441993316708
b0020,nhaR,CDS,1.3099623230814506,1.4089973692899007,-1.4831813852696465,-1.6918452887026336,0.46491793983695084,-0.1018167759397711,-0.5225619411980319,-0.16093707612632024,-0.8864422628086526,-0.8001197898195066,0.17177693694665166,0.11791936868422294,1.421094817998593,-1.2786183119074022,1.5401555843858399,1.4096808409683572,0.5947775587438214,-0.6621268579389952,-0.6171544214965103,-0.2344786287283165
b0021,insB-1,CDS,-0.9773287327662461,-1.117231798217422,-0.43063482867510827,-0.834402221892746,2.5969334737702825,-0.6425508669125477,-0.6070940978689296,-0.9710069832468412,-0.1280154277679476,-0.3217907934714429,0.41318130282805554,0.3840462833038421,0.6589049580605729,-0.30997187045690344,0.25073982604682754,0.10341557637721968,2.651905208721628,-0.5960997508786604,0.006115605513336924,-0.12911486246697465
b0022,insA-1,CDS,-1.037676769350692,-1.143720333989389,-0.34102839161880216,-0.3985618455973244,2.4097031138127623,0.04905768106667325,-0.5187959672494904,-0.4594886936442847,-0.5028315906093375,-0.3053977539002,-0.28334069245535126,0.07042063917934144,0.9347335329290695,-0.7822467431082457,-0.30724869611934824,-0.6911649614076631,2.9012053955890638,0.2870580014121411,-0.10619009756437907,0.22551417262546483
